Rank,HS6_Code,Short_Name_ENG,ESRI_Score
399,273112,Optical fibres and optica,0.002886297951868105
400,279053,Variable capacitors (incl,0.0028862979518681046
401,267021,"Prisms, mirrors and other",0.0028862979518681046
402,231926,Signalling glassware and ,0.002886153009738997
403,352310,Household gas tariff (to ,0.0028779048926915337
404,324012,Toys representing animals,0.002875429475214175
405,152040,Leather uppers and parts ,0.002869758524982014
406,331411,Repair and maintenance of,0.0028678787992925795
407,151211,Saddlery and harness for ,0.0028574373433208804
408,257113,"Paper knives, letter open",0.002851165583106387
409,139420,"Rags, scrap twine, cordag",0.0028492957177377208
410,204132,Surface-active preparatio,0.00283488972488755
411,329913,Indian ink drawing pens; ,0.0028330792048913258
412,162912,Tableware and kitchenware,0.0028330792048913245
413,139613,"Rubber thread and cord, t",0.002833079204891324
414,322015,Percussion musical instru,0.002833079204891324
415,234399,Sub-contracted operations,0.002832893170448686
416,281311,Pumps fitted or designed ,0.002808833776807451
417,383222,Secondary raw material of,0.0028039184023179366
418,264043,Telephonic and measuremen,0.0028009772658389737
419,351410,General electric price ta,0.002794195979281491
420,332039,Installation of other spe,0.0027909298558023744
421,172312,Envelopes of paper or pap,0.002767792360877276
422,259315,Base metal coated electro,0.002749379702354872
423,243120,"Bars and rods, of high-sp",0.002749379702354872
424,281525,Flywheels and pulleys (in,0.0027493797023548715
425,283054,Potato-diggers and potato,0.0027493797023548715
426,284121,Numerically controlled ho,0.0027493797023548715
427,259921,Armoured or reinforced sa,0.0027396085280580675
428,181320,Printing components,0.0027297751374303074
429,331224,Repair and maintenance of,0.0027254121885584206
430,282985,Parts of dish-washing mac,0.0027193809559639508
431,266012,Electro-cardiographs,0.0026958859579111405
432,309230,"Frames and forks, for bic",0.002672535920332219
433,257320,Hand saws (excluding hand,0.002669186438159944
434,324020,Toy trains and their acce,0.002619624659432776
435,275124,"Vacuum cleaners, includin",0.002614173021079301
436,141422,Men’s or boys’ underpants,0.002608727546572853
437,265144,Instruments and apparatus,0.002600329084857741
438,282211,Pulley tackle and hoists ,0.0025359917025960244
439,325013,"Syringes, with or without",0.0024999458828906633
440,262017,"Monitors and projectors, ",0.0024982080724411703
441,267011,"Mounted objective lenses,",0.00249820807244117
442,383211,Sorted metal materials re,0.0024908628672596165
443,293292,Assembly services of part,0.0024618202876391503
444,283060,Agricultural or horticult,0.002456897630270852
445,265151,"Thermometers, liquid-fill",0.002451903896041496
446,289620,Parts for machinery for w,0.0024459369343936554
447,267019,Flashlights (including  p,0.002421045522299743
448,231924,Glass parts for lamps and,0.002388248884666557
449,264031,"Turntables, record-player",0.0023882488846665565
450,273312,Lamp-holders for a voltag,0.0023882488846665565
451,274013,Filament lamps of a power,0.0023882488846665565
452,273211,Winding wire for electric,0.002388248884666556
453,274023,Non-electrical lamps and ,0.002388248884666556
454,283039,Agricultural... forestry ,0.0023347981862557243
455,281220,Parts of fluid power equi,0.002329842324830512
456,310999,Sub-contracted operations,0.0023109625255858354
457,256121,Heat treatment of metals ,0.0023035655055651917
458,293299,Sub-contracted operations,0.0022892010453033364
459,162399,Sub-contracted operations,0.002268269969132628
460,255012,Drop forged (and precisio,0.0022503921710982974
461,161011,Spruce wood (Picea abies ,0.002235204809740828
462,262014,Digital data processing m,0.002229538757565682
463,222212,Plastic sacks and bags (i,0.0022279688660857854
464,310011,Swivel seats with variabl,0.0021958584700885538
