Rank,HS6_Code,Short_Name_ENG,ESRI_Score
342,263030,Parts of electrical telep,132584.2274228552
343,274042,Parts of portable electri,132171.1617189111
344,281522,Cranks and crankshafts,132115.67379104331
345,261291,Services connected with p,131574.05151321774
346,105156,Products consisting of na,131169.0308746875
347,261122,Semiconductor light emitt,130971.89244012444
348,323015,"Leather sports gloves, mi",130706.23453709472
349,259999,Sub-contracted operations,130694.01118573632
350,108423,"Cinnamon (canella), proce",130342.56557207278
351,289999,Sub-contracted operations,130166.1673969843
352,275122,"Shavers, hair-removing ap",130165.58850354009
353,211032,Sulphonamides,129641.86037571022
354,212022,Chemical contraceptive pr,129641.86037571022
355,291059,Fire-fighting vehicles,129532.12409335125
356,263013,Television cameras (inclu,128441.94209560707
357,201443,Ureines and their derivat,128230.6759004615
358,103921,Frozen fruit and nuts unc,128181.91021890659
359,222926,Plastic fittings for furn,127357.95887866836
360,231213,Multiple-walled insulatin,126969.26208327457
361,259311,"Stranded wire, ropes and ",126652.45207090539
362,110510,Beer made from malt (excl,126621.24488283902
363,275113,Cloth washing and drying ,126392.3777253205
364,243411,Iron or non-alloy steel w,126253.87956077134
365,108511,Prepared meals and dishes,126012.14717163352
366,205310,Essential oils,125699.80990225778
367,141335,Women’s or girls’ trouser,125692.20260586272
368,201112,Carbon dioxide,125577.96490228153
369,265184,Parts and accessories for,125399.2764921263
370,283059,Combine harvester-threshe,124186.75972610604
371,101230,Fats of poultry,123959.99430042862
372,81211,Silica sands (quartz sand,123603.69106803255
373,211051,"Provitamins and vitamins,",122732.1317303573
374,281524,Gear boxes for stationary,122635.72883201785
375,201324,Hydrogen chloride (hydroc,122219.70809963073
376,201432,Ethyl acetate,121962.28698678306
377,205941,Lubricating preparations ,121723.47715426236
378,204213,Manicure or pedicure prep,120478.60149667478
379,222311,Floor coverings in rolls ,119980.58704954646
380,383239,Other non-metal secondary,119868.0158958787
381,172211,Toilet paper,119048.45542930035
382,383212,Sorted non-metal material,118629.37898268687
383,281523,Bearing housings incorpor,118445.57420847006
384,281131,Parts for steam turbines ,116912.49053907875
385,141321,"Men’s or boys’ raincoats,",116461.8999675433
386,244225,Aluminium foil of a thick,116030.49798155487
387,265120,Radar apparatus,115490.75707976408
388,282985,Parts of dish-washing mac,114753.62496191985
389,221950,Adhesive tape of rubberis,114657.72149860453
390,106122,Cereal flours (excluding ,114337.19866912132
391,201341,"Sulphides of calcium, of ",113941.41142672281
392,329111,Brooms and brushes of twi,113615.81781192035
393,265143,Instruments for measuring,113000.11709656399
394,108315,Herbal Infusions,112315.15987375991
395,259111,"Tanks, casks, drums, cans",111929.51951251108
396,289512,Parts of machinery for ma,111837.14373353907
397,251121,Iron or steel bridges and,111747.67054066238
398,329119,"Paint brushes, distemperi",110617.47974082941
399,310014,Parts of seats,110299.82122432247
400,110211,Champagne (important: exc,109968.67150387411
401,262014,Digital data processing m,109892.92279571563
402,281323,Compressors for refrigera,109735.5411976232
403,201411,Saturated acyclic hydroca,109631.99391032019
404,281214,Pressure-reducing valves ,109571.28753052322
405,266011,Apparatus based on the us,109166.53912910355
406,103922,"Citrus fruit jams, marmal",108434.31866423444
407,201475,Denatured ethyl alcohol a,108238.64670575794
408,332011,Installation services of ,108078.82107069092
409,282913,Oil or petrol-filters for,107394.30412220045
410,331218,Repair and maintenance of,106787.02761119799
411,151212,"Trunks, suitcases, vanity",106737.05595489836
412,139216,Hand-woven tapestries of ,106516.89355382163
413,181215,Printing services for lab,106244.07016974443
414,281211,Hydraulic cylinders,105638.02704019222
415,282321,Office machines,105631.42632373462
416,271143,"Transformers, n.e.c., hav",105504.88185685423
417,282923,Gaskets and similar joint,105419.39110803962
418,141331,Woman’s or girls’ raincoa,105125.90909839277
419,243110,"Bars and rods, of non-all",104593.11326731193
420,141399,Sub-contracted operations,104091.45571978448
421,139229,"Floor-cloths, dish-cloths",103709.67778598655
422,106213,Glucose and glucose syrup,103165.19146574411
423,162210,Assembled parquet panels ,103154.51528161493
424,172199,Sub-contracted operations,101944.38321148555
425,252112,Boilers for central heati,101925.24600177957
426,263022,Telephones for cellular n,101672.97784140923
427,309240,Baby carriages,101647.31005038384
428,232014,Articles of stone or othe,101633.8044139955
429,162115,Medium density fibreboard,101481.26136964843
430,108422,"Chillies and peppers, dry",101285.97760178616
431,264041,Microphones and their sta,101258.78299052885
432,242034,"Tubes and pipes, of non-c",101117.22154867898
433,201580,Animal or vegetable ferti,100704.71707684865
434,331112,Repair and maintenance of,100547.76549489
435,204131,Soap and organic surface-,100471.44322057754
436,263011,Transmission apparatus fo,100449.10071619536
437,263012,Transmission apparatus fo,100449.10071619536
438,264033,Video camera recorders,100449.10071619536
439,293121,Sparking plugs,100449.10071619536
440,262018,"Multifunctional devices, ",100449.10071619536
441,105210,Ice cream and other edibl,100050.67840732903
